run,experiment,workload,param,roi_markers,n_sections,sim_seconds,sim_ticks,cpu_cycles,committed_insts,committed_ops,ipc,cpi,l1d_accesses,l1d_misses,l1d_miss_rate,l1i_accesses,l1i_misses,l1i_miss_rate,l2_miss_rate,branches,branch_mispred,num_load_insts,num_store_insts,int_alu_ops,int_mult_ops,mem_read_ops,mem_write_ops,rob_full_events,iq_full_events,lq_full_events,sq_full_events,rename_blocked,iew_load_to_use,dcache_avg_miss_latency,load_frac,store_frac,branch_mispred_rate
calib_ascon,calib,ascon,,yes,2,0.001083,1082866000,2165732,6668010,8843018,3.078871,0.324794,545094,19,0.000035,585155,36,0.000062,0.947368,370079,12051,356001,190003,8301641,80010,373092,199095,3,3,0,0,16129,3.032020,72263.157895,0.053389,0.028495,0.032563
e1_aes,e1,aes,,yes,2,0.006990,6989539500,13979079,18518017,31174023,1.324695,0.754891,6568106,4,0.000001,2905265,34,0.000012,0.875000,2277197,9051,3963001,2605003,24703009,64001,3976125,2597038,178876,3076715,0,0,2663768,3.098418,27500,0.214008,0.140674,0.003975
e1_ascon,e1,ascon,,yes,2,0.001083,1082848500,2165697,6668010,8843018,3.078921,0.324789,545088,19,0.000035,585150,36,0.000062,0.947368,370072,12051,356001,190003,8301566,81000,373081,199087,3,3,0,0,95,3.032025,72289.473684,0.053389,0.028495,0.032564
e1_des,e1,des,,yes,2,0.035532,35531759500,71063519,181027012,252815021,2.547397,0.392558,13372063,41,0.000003,27119114,22,0.000001,0.961538,13389072,427034,12648001,426001,241881389,64000,12955068,434027,44980,17031,0,0,60459,3.001559,60804.878049,0.069868,0.002353,0.031894
e2_aes_iw1,e2,aes,iw1,yes,2,0.017818,17818019500,35636039,18518017,31174023,0.519643,1.924398,6569018,3,0.000000,2893048,16,0.000006,0.882353,2225024,9048,3963001,2605003,24555117,65000,3964019,2597007,0,0,0,0,0,3.084996,35500,0.214008,0.140674,0.004066
e2_aes_iw2,e2,aes,iw2,yes,2,0.010202,10202097000,20404194,18518017,31174023,0.907559,1.101856,6568047,3,0.000000,2893099,26,0.000009,0.882353,2242062,9049,3963001,2605003,24571368,65000,3964056,2597017,0,7998,0,0,7998,3.114996,35500,0.214008,0.140674,0.004036
e2_aes_iw4,e2,aes,iw4,yes,2,0.007228,7228409000,14456818,18518017,31174023,1.280919,0.780689,6572069,5,0.000001,2897193,30,0.000010,0.888889,2248113,9051,3963001,2605003,24615613,64001,3968097,2597033,46972,1280854,0,0,1003827,3.224508,21600,0.214008,0.140674,0.004026
e2_aes_iw8,e2,aes,iw8,yes,2,0.006990,6989539500,13979079,18518017,31174023,1.324695,0.754891,6568106,4,0.000001,2905265,34,0.000012,0.875000,2277197,9051,3963001,2605003,24703009,64001,3976125,2597038,178876,3076715,0,0,2663768,3.098418,27500,0.214008,0.140674,0.003975
e2_ascon_iw1,e2,ascon,iw1,yes,2,0.004833,4833122500,9666245,6668010,8843018,0.689824,1.449645,546016,17,0.000031,558033,18,0.000032,0.944444,361013,12051,356001,190003,8199075,80000,367020,192033,1,0,0,0,6,3.032413,48294.117647,0.053389,0.028495,0.033381
e2_ascon_iw2,e2,ascon,iw2,yes,2,0.002640,2639916000,5279832,6668010,8843018,1.262921,0.791815,555027,19,0.000034,559036,20,0.000036,0.944444,362020,12052,356001,190003,8228158,80000,368041,193049,3,0,0,0,61,3.089741,60052.631579,0.053389,0.028495,0.033291
e2_ascon_iw4,e2,ascon,iw4,yes,2,0.001581,1581398000,3162796,6668010,8843018,2.108264,0.474324,550045,18,0.000033,572096,29,0.000051,1,367053,12052,356001,190003,8265224,80000,369063,195086,6,1,0,0,96,3.065241,70750,0.053389,0.028495,0.032834
