
---------- Begin Simulation Statistics ----------
simSeconds                                   0.035533                       # Number of seconds simulated (Second)
simTicks                                  35533270000                       # Number of ticks simulated (Tick)
finalTick                                 35632801500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    598.81                       # Real time elapsed on the host (Second)
hostTickRate                                 59339876                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     670480                       # Number of bytes of host memory used (Byte)
simInsts                                    181027012                       # Number of instructions simulated (Count)
simOps                                      252815021                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   302312                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     422196                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         71066540                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.392574                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.547289                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       257165654                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        7                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      255447472                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8001                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              4350636                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          11523234                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   6                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            71066168                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               3.594502                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.607562                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1431957      2.01%      2.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1965220      2.77%      4.78% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  22483912     31.64%     36.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4077060      5.74%     42.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  22791956     32.07%     74.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   5641972      7.94%     82.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  11855071     16.68%     98.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    777022      1.09%     99.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     41998      0.06%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              71066168                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   32092    100.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%    100.00% # attempts to use FU when none available (Count)
